City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6,-73.97,28.0,44,1,8.05,US,1581791608
1,bengkulu,-3.8,102.27,73.99,94,43,3.98,ID,1581791608
2,avarua,-21.21,-159.78,80.6,88,100,6.93,CK,1581791608
3,esperance,-33.87,121.9,68.0,94,90,13.87,AU,1581791609
4,kapaa,22.08,-159.32,73.4,83,20,17.22,US,1581791609
5,yulara,-25.24,130.99,80.6,24,0,6.93,AU,1581791609
6,aksarka,66.56,67.8,5.54,96,93,7.4,RU,1581791609
7,fort thomas,39.08,-84.45,39.99,44,40,10.29,US,1581791609
8,meadow lake,34.8,-106.54,55.99,27,1,9.17,US,1581791610
9,saldanha,-33.01,17.94,89.6,31,0,9.17,ZA,1581791610
10,ancud,-41.87,-73.82,64.4,68,75,12.75,CL,1581791610
11,bambous virieux,-20.34,57.76,80.6,78,40,14.99,MU,1581791328
12,port alfred,-33.59,26.89,73.0,96,88,17.63,ZA,1581791610
13,atar,20.52,-13.05,80.74,17,98,14.09,MR,1581791610
14,atbasar,51.8,68.33,17.8,90,100,7.58,KZ,1581791611
15,mataura,-46.19,168.86,57.0,97,100,5.99,NZ,1581791502
16,port lincoln,-34.73,135.87,62.64,76,51,11.12,AU,1581791611
17,byron bay,-28.65,153.62,75.2,100,14,1.9,AU,1581791611
18,constitucion,-35.33,-72.42,67.98,61,9,13.42,CL,1581791611
19,ushuaia,-54.8,-68.3,51.8,66,75,5.82,AR,1581791611
20,riyadh,24.69,46.72,62.6,14,0,3.36,SA,1581791543
21,camana,-16.62,-72.71,75.06,62,24,11.83,PE,1581791612
22,puerto ayora,-0.74,-90.35,86.0,66,20,23.04,EC,1581791612
23,vila do maio,15.13,-23.22,84.2,21,86,20.8,CV,1581791612
24,normandin,48.83,-72.53,15.01,56,75,13.87,CA,1581791421
25,faanui,-16.48,-151.75,82.94,72,100,9.95,PF,1581791356
26,busselton,-33.65,115.33,64.99,50,6,7.67,AU,1581791613
27,tecoanapa,16.52,-98.75,95.9,33,0,5.79,MX,1581791613
28,tawang,27.58,91.87,28.78,89,100,1.12,IN,1581791613
29,emba,48.83,58.14,10.85,96,100,8.46,KZ,1581791613
30,severo-kurilsk,50.68,156.12,14.94,89,97,24.65,RU,1581791613
31,punta arenas,-53.15,-70.92,53.6,58,75,34.45,CL,1581791614
32,mogadishu,2.04,45.34,81.01,84,4,21.83,SO,1581791337
33,barrow,71.29,-156.79,-34.6,94,1,11.41,US,1581791614
34,steamboat springs,40.48,-106.83,30.99,68,40,3.47,US,1581791346
35,guerrero negro,27.98,-114.06,65.97,54,83,7.96,MX,1581791361
36,hilo,19.73,-155.09,73.0,77,20,5.82,US,1581791614
37,jiuquan,39.74,98.52,17.56,27,81,3.6,CN,1581791615
38,nelson bay,-32.72,152.15,71.01,94,90,1.3,AU,1581791615
39,rikitea,-23.12,-134.97,79.56,78,52,20.24,PF,1581791615
40,hobyo,5.35,48.53,78.21,78,14,18.48,SO,1581791615
41,wajid,3.81,43.25,82.24,45,51,13.98,SO,1581791615
42,havoysund,71.0,24.66,23.0,73,52,26.4,NO,1581791616
43,jijiga,9.35,42.8,63.46,54,15,7.43,ET,1581791616
44,iwata,34.7,137.85,48.0,100,75,2.24,JP,1581791342
45,great falls,47.5,-111.3,39.99,44,75,26.4,US,1581791569
46,kjopsvik,68.1,16.37,30.99,79,100,11.41,NO,1581791617
47,pandan,14.05,124.17,79.0,77,0,11.1,PH,1581791617
48,torbay,47.67,-52.73,19.0,56,20,24.2,CA,1581791617
49,alice springs,-23.7,133.88,84.2,35,1,17.22,AU,1581791617
50,cidreira,-30.18,-50.21,78.22,77,69,8.99,BR,1581791617
51,elsfleth,53.24,8.46,53.01,66,81,16.11,DE,1581791618
52,kungurtug,50.6,97.52,3.96,64,0,3.83,RU,1581791618
53,hobart,-42.88,147.33,55.4,62,90,8.05,AU,1581791618
54,leningradskiy,69.38,178.42,-13.0,95,100,13.18,RU,1581791334
55,jamestown,42.1,-79.24,30.99,53,1,13.87,US,1581791619
56,tiquisate,14.28,-91.37,96.8,49,20,9.17,GT,1581791619
57,airai,-8.93,125.41,67.64,91,5,2.57,TL,1581791619
58,yeppoon,-23.13,150.73,78.8,88,0,6.93,AU,1581791619
59,ndele,8.41,20.65,83.71,15,44,4.61,CF,1581791619
60,codrington,-38.27,141.97,59.56,81,96,14.61,AU,1581791620
61,nanortalik,60.14,-45.24,29.44,66,81,12.64,GL,1581791620
62,mareeba,-17.0,145.43,82.4,65,22,10.29,AU,1581791620
63,upernavik,72.79,-56.15,-2.45,59,44,4.45,GL,1581791620
64,victoria,22.29,114.16,64.0,87,40,23.04,HK,1581791620
65,bluff,-46.6,168.33,57.0,97,100,5.99,NZ,1581791620
66,kaitangata,-46.28,169.85,59.0,91,100,3.0,NZ,1581791621
67,faya,18.39,42.45,62.6,51,0,13.87,SA,1581791621
68,kolondieba,11.09,-6.89,91.51,7,78,4.99,ML,1581791621
69,port lavaca,28.61,-96.63,72.0,64,1,10.29,US,1581791621
70,nadym,65.53,72.52,0.93,96,79,4.88,RU,1581791621
71,pevek,69.7,170.31,-19.73,100,100,6.24,RU,1581791622
72,ponta delgada,37.73,-25.67,64.4,82,40,24.16,PT,1581791622
73,georgetown,5.41,100.34,82.4,94,20,3.36,MY,1581791488
74,qaanaaq,77.48,-69.36,-0.54,34,51,7.49,GL,1581791622
75,tasiilaq,65.61,-37.64,30.2,63,90,13.87,GL,1581791622
76,la palma,33.85,-118.05,64.99,55,1,2.55,US,1581791623
77,arraial do cabo,-22.97,-42.03,89.6,74,20,11.41,BR,1581791623
78,hermanus,-34.42,19.23,73.99,84,0,7.0,ZA,1581791623
79,vaini,-21.2,-175.2,77.0,78,20,6.93,TO,1581791623
80,hithadhoo,-0.6,73.08,83.73,75,0,7.09,MV,1581791623
81,atessa,42.07,14.45,48.2,70,0,1.12,IT,1581791624
82,yellowknife,62.46,-114.35,-16.01,67,40,4.7,CA,1581791478
83,namibe,-15.2,12.15,74.71,82,50,12.8,AO,1581791624
84,nabire,-3.37,135.48,73.6,98,77,1.36,ID,1581791624
85,butaritari,3.07,172.79,82.65,74,100,14.54,KI,1581791327
86,bolokhovo,54.09,37.82,29.3,92,90,3.51,RU,1581791624
87,dikson,73.51,80.55,15.17,94,95,13.78,RU,1581791584
88,taltal,-25.4,-70.48,69.71,69,80,7.43,CL,1581791625
89,yola,9.2,12.48,83.52,12,17,2.64,NG,1581791625
90,yagodnoye,62.55,149.67,-23.31,91,0,3.06,RU,1581791625
91,muisne,0.6,-80.03,78.8,100,75,4.7,EC,1581791625
92,sikasso,10.92,-7.0,91.51,7,78,4.99,ML,1581791626
93,cotonou,6.37,2.42,84.2,79,20,6.93,BJ,1581791626
94,pacific grove,36.62,-121.92,57.99,62,1,5.82,US,1581791626
95,ponta do sol,32.67,-17.1,66.2,68,40,5.82,PT,1581791626
96,narsaq,60.92,-46.05,28.4,50,75,2.24,GL,1581791626
97,bud,39.45,-86.18,42.01,51,40,13.87,US,1581791358
98,bandarbeyla,9.49,50.81,76.32,77,66,16.08,SO,1581791627
99,xinxiang,35.31,113.87,30.2,24,4,4.97,CN,1581791627
100,auki,-8.77,160.7,82.51,79,100,25.77,SB,1581791396
101,hualmay,-11.1,-77.61,79.34,59,9,10.94,PE,1581791627
102,asau,46.43,26.4,41.0,75,75,8.05,RO,1581791627
103,vardo,70.37,31.11,20.23,85,0,17.36,NO,1581791627
104,yar-sale,66.83,70.83,2.91,96,61,6.33,RU,1581791365
105,morehead,37.27,-87.18,46.99,26,1,12.75,US,1581791628
106,atuona,-9.8,-139.03,81.54,75,47,18.54,PF,1581791628
107,kieta,-6.22,155.63,80.24,74,99,5.26,PG,1581791628
108,chuy,-33.7,-53.46,84.18,54,5,6.22,UY,1581791628
109,halifax,44.65,-63.57,23.0,57,40,6.93,CA,1581791431
110,srednekolymsk,67.45,153.68,-30.15,96,66,6.04,RU,1581791629
111,bathsheba,13.22,-59.52,82.4,65,20,24.16,BB,1581791378
112,aranos,-24.13,19.12,85.37,34,94,10.54,NA,1581791629
113,cape town,-33.93,18.42,72.0,77,4,14.99,ZA,1581791629
114,bullhead city,35.15,-114.57,62.01,30,40,3.98,US,1581791365
115,cao bang,22.67,106.25,55.26,70,97,8.97,VN,1581791630
116,chokurdakh,70.63,147.92,-26.93,89,0,9.48,RU,1581791630
117,balkhash,46.84,74.98,16.92,77,78,5.37,KZ,1581791630
118,beringovskiy,63.05,179.32,-2.45,82,100,25.01,RU,1581791630
119,upata,8.01,-62.4,92.7,34,14,7.9,VE,1581791630
120,carballo,43.21,-8.69,60.01,77,75,21.92,ES,1581791631
121,bursa,40.17,29.08,44.6,93,75,2.24,TR,1581791631
122,itarema,-2.92,-39.92,84.18,70,100,8.59,BR,1581791351
123,cabo san lucas,22.89,-109.91,79.0,56,20,2.24,MX,1581791481
124,coos bay,43.37,-124.22,46.99,93,90,10.29,US,1581791631
125,bredasdorp,-34.53,20.04,72.0,83,0,5.82,ZA,1581791632
126,longyearbyen,78.22,15.64,12.2,66,75,13.87,SJ,1581791632
127,port macquarie,-31.43,152.92,71.01,100,90,3.36,AU,1581791632
128,castro,-24.79,-50.01,82.89,43,80,5.44,BR,1581791419
129,mandalgovi,45.76,106.27,5.32,69,0,7.83,MN,1581791632
130,grand baie,-20.02,57.58,80.6,78,40,14.99,MU,1581791633
131,male,4.17,73.51,84.2,79,40,9.17,MV,1581791614
132,anadyr,64.75,177.48,1.4,59,100,29.08,RU,1581791442
133,labuhan,-6.88,112.21,75.45,90,100,2.33,ID,1581791633
134,mar del plata,-38.0,-57.56,90.0,39,0,19.46,AR,1581791570
135,zhezkazgan,47.8,67.71,21.65,93,100,3.11,KZ,1581791634
136,qurayyat,31.33,37.34,57.2,35,0,6.93,SA,1581791606
